Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
18.14,41,122.9385,2.9985
18.16,41,122.959,2.999
18.18,41,122.8975,2.9975
18.2,41,122.8975,2.9975
18.22,40.5,121.4393,2.9985
18.24,40.5,121.4393,2.9985
18.26,41,122.959,2.999
18.28,41,122.8975,2.9975
18.3,41,122.8975,2.9975
18.32,40.5,121.4393,2.9985
18.34,40.5,121.3988,2.9975
18.36,39.5,118.4408,2.9985
18.38,39.5,118.4012,2.9975
18.4,39.5,118.4408,2.9985
18.42,39.5,118.4408,2.9985
18.44,39.5,118.4408,2.9985
18.46,40,119.94,2.9985
18.48,39.5,118.4408,2.9985
18.5,39.5,118.4408,2.9985
18.52,39.5,118.4408,2.9985
18.54,39.5,118.4605,2.999
18.56,39.5,118.4408,2.9985
18.58,39.5,118.4803,2.9995
18.6,39.5,118.4605,2.999
18.62,39.5,118.4605,2.999
18.64,39.5,118.4012,2.9975
18.66,39.5,118.3815,2.997
18.68,39.5,118.4408,2.9985
18.7,48.5,145.3788,2.9975
18.72,45.5,136.4317,2.9985
18.74,46.5,139.4535,2.999
18.76,46,137.954,2.999
18.78,46,137.885,2.9975
18.8,46,137.954,2.999
18.82,46,137.931,2.9985
18.84,46,137.885,2.9975
18.86,46,137.885,2.9975
18.88,46,137.931,2.9985
18.9,46,137.885,2.9975
18.92,46,137.931,2.9985
18.94,45,134.955,2.999
18.96,46.5,139.4303,2.9985
18.98,46,137.931,2.9985
19,46,137.931,2.9985
19.02,46,137.931,2.9985
19.04,46,137.931,2.9985
19.06,46,137.931,2.9985
19.08,46,137.931,2.9985
19.1,46,137.931,2.9985
19.12,45,134.9325,2.9985
19.14,46,137.954,2.999
19.16,46,137.931,2.9985
19.18,46,137.931,2.9985
19.2,46,137.885,2.9975
19.22,46,137.931,2.9985
19.24,46,137.885,2.9975
19.26,46,137.885,2.9975
19.28,46,137.931,2.9985
19.3,46,137.931,2.9985
19.32,46,137.931,2.9985
19.34,46,137.885,2.9975
19.36,46.5,139.4303,2.9985
19.38,46,137.931,2.9985
19.4,46,137.954,2.999
19.42,46,137.931,2.9985
19.44,46,137.954,2.999
19.46,46,137.931,2.9985
19.48,46,137.931,2.9985
19.5,46,137.931,2.9985
19.52,46,137.954,2.999
19.54,46,137.885,2.9975
19.56,46.5,139.4535,2.999
19.58,46,137.931,2.9985
19.6,46,137.931,2.9985
19.62,46,137.931,2.9985
19.64,46,137.954,2.999
19.66,46.5,139.4303,2.9985
19.68,46,137.931,2.9985
19.7,37.5,112.4438,2.9985
19.72,37.5,112.4438,2.9985
19.74,37.5,112.4438,2.9985
19.76,37.5,112.4062,2.9975
19.78,37.5,112.4438,2.9985
19.8,37.5,112.4438,2.9985
19.82,37.5,112.4438,2.9985
19.84,37.5,112.4062,2.9975
19.86,37.5,112.4438,2.9985
19.88,37.5,112.4438,2.9985
19.9,37.5,112.4438,2.9985
19.92,37.5,112.4438,2.9985
19.94,37.5,112.4438,2.9985
19.96,37.5,112.4625,2.999
19.98,37.5,112.4438,2.9985
20,37.5,112.4062,2.9975
20.02,37.5,112.4438,2.9985
20.04,37.5,112.4062,2.9975
20.06,40,119.94,2.9985
20.08,40.5,121.4393,2.9985
20.1,40,119.9,2.9975
20.12,40,119.94,2.9985
20.14,40,119.94,2.9985
20.16,40,119.94,2.9985
20.18,40,119.9,2.9975
20.2,40,119.96,2.999
20.22,40,119.94,2.9985
20.24,40,119.9,2.9975
20.26,40.5,121.4595,2.999
20.28,40,119.94,2.9985
20.3,40.5,121.3785,2.997
20.32,40,119.94,2.9985
20.34,40,119.9,2.9975
20.36,40.5,121.4393,2.9985
20.38,40,119.9,2.9975
20.4,40,119.94,2.9985
20.42,39.5,118.4605,2.999
20.44,40,119.94,2.9985
20.46,40,119.9,2.9975
20.48,40.5,121.4393,2.9985
20.5,40,119.94,2.9985
20.52,40,119.98,2.9995
20.54,40,119.96,2.999
20.56,40,119.94,2.9985
20.58,40,119.94,2.9985
20.6,39.5,118.4408,2.9985
20.62,40,119.96,2.999
20.64,40,119.94,2.9985
20.66,40,119.94,2.9985
20.68,40,119.9,2.9975
20.7,49,146.9265,2.9985
20.72,49,146.9265,2.9985
20.74,49,146.9265,2.9985
20.76,49,146.951,2.999
20.78,49,146.8775,2.9975
20.8,49,146.9265,2.9985
20.82,49,146.9265,2.9985
20.84,48.5,145.3788,2.9975
20.86,49,146.951,2.999
20.88,49,146.9265,2.9985
20.9,48.5,145.4273,2.9985
20.92,49,146.951,2.999
20.94,48.5,145.4273,2.9985
20.96,49,146.9265,2.9985
20.98,49,146.9265,2.9985
21,49,146.8775,2.9975
21.02,49,146.8775,2.9975
21.04,49,146.9265,2.9985
21.06,49,146.8775,2.9975
21.08,49,146.9265,2.9985
21.1,49,146.9265,2.9985
21.12,49,146.9265,2.9985
21.14,49,146.9265,2.9985
21.16,49,146.951,2.999
21.18,49,146.9265,2.9985
21.2,48.5,145.4515,2.999
21.22,49,146.8775,2.9975
21.24,49,146.9265,2.9985
21.26,49,146.8775,2.9975
21.28,49,146.9265,2.9985
21.3,49,146.951,2.999
21.32,49,146.9265,2.9985
21.34,49,146.8775,2.9975
21.36,49,146.9265,2.9985
21.38,49,146.951,2.999
21.4,46,137.954,2.999
21.42,46,137.931,2.9985
21.44,46,137.954,2.999
21.46,46,137.931,2.9985
21.48,46,137.885,2.9975
21.5,46,137.931,2.9985
21.52,46,137.931,2.9985
21.54,46,137.931,2.9985
21.56,46,137.954,2.999
21.58,46,137.931,2.9985
21.6,46,137.931,2.9985
21.62,46,137.931,2.9985
21.64,46,137.931,2.9985
21.66,46,137.931,2.9985
21.68,46,137.885,2.9975
21.7,37,110.963,2.999
21.72,37.5,112.4438,2.9985
21.74,37.5,112.4438,2.9985
21.76,37.5,112.4625,2.999
21.78,37.5,112.4625,2.999
21.8,37,110.963,2.999
21.82,37,110.9075,2.9975
21.84,37.5,112.4062,2.9975
21.86,37.5,112.4438,2.9985
21.88,37.5,112.4438,2.9985
21.9,37.5,112.4625,2.999
21.92,37.5,112.4438,2.9985
21.94,37.5,112.4438,2.9985
21.96,37.5,112.4625,2.999
21.98,37.5,112.4625,2.999
22,37.5,112.4438,2.9985
22.02,37.5,112.4438,2.9985
22.04,37.5,112.4438,2.9985
22.06,37.5,112.4062,2.9975
22.08,36.5,109.4087,2.9975
22.1,37,110.963,2.999
22.12,37,110.963,2.999
22.14,37.5,112.4438,2.9985
22.16,37.5,112.4062,2.9975
22.18,37.5,112.4062,2.9975
22.2,37,110.9445,2.9985
22.22,37,110.9445,2.9985
22.24,37.5,112.4438,2.9985
22.26,37.5,112.4625,2.999
22.28,37.5,112.4438,2.9985
22.3,37,110.9445,2.9985
22.32,36.5,109.4453,2.9985
22.34,36.5,109.4087,2.9975
22.36,36.5,109.4453,2.9985
22.38,36.5,109.4453,2.9985
22.4,36.5,109.4453,2.9985
22.42,36.5,109.4087,2.9975
22.44,36.5,109.4635,2.999
22.46,36.5,109.4087,2.9975
22.48,36.5,109.4453,2.9985
22.5,36.5,109.4087,2.9975
22.52,36.5,109.4453,2.9985
22.54,36.5,109.4453,2.9985
22.56,36.5,109.4087,2.9975
22.58,36.5,109.4453,2.9985
22.6,36.5,109.4453,2.9985
22.62,36.5,109.4453,2.9985
22.64,36.5,109.4635,2.999
22.66,36.5,109.4453,2.9985
22.68,36.5,109.4635,2.999
22.7,45,134.9325,2.9985
22.72,45,134.9325,2.9985
22.74,45,134.9325,2.9985
22.76,45,134.9325,2.9985
22.78,45,134.9325,2.9985
22.8,45,134.8875,2.9975
22.82,45,134.9325,2.9985
22.84,45,134.9325,2.9985
22.86,45,134.9325,2.9985
22.88,45,134.9325,2.9985
22.9,45,134.9325,2.9985
22.92,45,134.955,2.999
22.94,45,134.955,2.999
22.96,45,134.9325,2.9985
22.98,45,134.955,2.999
23,45,134.9325,2.9985
23.02,45,134.955,2.999
23.04,45,134.8875,2.9975
23.06,45,134.9325,2.9985
23.08,45,134.955,2.999
23.1,45,134.9325,2.9985
23.12,44.5,133.3887,2.9975
23.14,45,134.9325,2.9985
23.16,45,134.8875,2.9975
23.18,45,134.955,2.999
23.2,45,134.9325,2.9985
23.22,45,134.9325,2.9985
23.24,45.5,136.4545,2.999
23.26,45.5,136.4317,2.9985
23.28,45,134.8875,2.9975
23.3,45,134.955,2.999
23.32,45,134.9325,2.9985
23.34,45,134.9325,2.9985
23.36,45,134.955,2.999
23.38,45,134.8875,2.9975
23.4,45,134.9325,2.9985
23.42,45,134.9325,2.9985
23.44,45.5,136.4317,2.9985
23.46,45.5,136.4317,2.9985
23.48,45,134.955,2.999
23.5,45,134.9325,2.9985
23.52,45,134.955,2.999
23.54,45,134.9325,2.9985
23.56,44.5,133.4555,2.999
23.58,45,134.9325,2.9985
23.6,48.5,145.3788,2.9975
23.62,48.5,145.4273,2.9985
23.64,49,146.9265,2.9985
23.66,48.5,145.4273,2.9985
23.68,49,146.951,2.999
23.7,40,119.94,2.9985
23.72,40,119.94,2.9985
23.74,40,119.94,2.9985
23.76,40,119.9,2.9975
23.78,40,119.9,2.9975
23.8,40,119.96,2.999
23.82,40,119.96,2.999
23.84,40,119.94,2.9985
23.86,40,119.94,2.9985
23.88,40,119.9,2.9975
23.9,40,119.94,2.9985
23.92,40,119.94,2.9985
23.94,40,119.94,2.9985
23.96,40.5,121.3988,2.9975
23.98,40,119.94,2.9985
24,40,119.94,2.9985
24.02,40,119.9,2.9975
24.04,40,119.94,2.9985
24.06,40,119.94,2.9985
24.08,40,119.94,2.9985
24.1,40,119.94,2.9985
24.12,40,119.94,2.9985
24.14,40,119.9,2.9975
24.16,40,119.94,2.9985
24.18,40,119.94,2.9985
24.2,40,119.96,2.999
24.22,39.5,118.4605,2.999
24.24,40,119.9,2.9975
24.26,40,119.94,2.9985
24.28,40,119.9,2.9975
24.3,40,119.94,2.9985
24.32,40,119.96,2.999
24.34,40,119.94,2.9985
24.36,40,119.9,2.9975
24.38,40,119.96,2.999
24.4,39.5,118.4408,2.9985
24.42,40,119.9,2.9975
24.44,40,119.94,2.9985
24.46,40,119.9,2.9975
24.48,40,119.9,2.9975
24.5,40,119.94,2.9985
24.52,40,119.96,2.999
24.54,40,119.94,2.9985
24.56,40,119.94,2.9985
24.58,40,119.96,2.999
24.6,40,119.94,2.9985
24.62,40,119.94,2.9985
24.64,40,119.94,2.9985
24.66,40,119.94,2.9985
24.68,40,119.94,2.9985
24.7,48.5,145.4273,2.9985
24.72,48.5,145.4273,2.9985
24.74,49,146.9265,2.9985
24.76,49,146.8775,2.9975
24.78,48.5,145.4515,2.999
24.8,48.5,145.4273,2.9985
24.82,48.5,145.4273,2.9985
24.84,48.5,145.4273,2.9985
24.86,49,146.9265,2.9985
24.88,49,146.951,2.999
24.9,49,146.9265,2.9985
24.92,48.5,145.4273,2.9985
24.94,46,137.931,2.9985
24.96,46,137.931,2.9985
24.98,46,137.885,2.9975
25,46,137.885,2.9975
25.02,46,137.931,2.9985
25.04,45,134.8875,2.9975
25.06,46,137.885,2.9975
25.08,46,137.931,2.9985
25.1,45.5,136.3862,2.9975
25.12,46,137.931,2.9985
25.14,46,137.885,2.9975
25.16,46,137.954,2.999
25.18,45.5,136.4317,2.9985
25.2,45.5,136.3862,2.9975
25.22,46,137.954,2.999
25.24,46,137.931,2.9985
25.26,46,137.931,2.9985
25.28,46,137.931,2.9985
25.3,46,137.977,2.9995
25.32,46,137.885,2.9975
25.34,45.5,136.4545,2.999
25.36,46,137.885,2.9975
25.38,46,137.931,2.9985
25.4,45.5,136.4545,2.999
25.42,46,137.931,2.9985
25.44,46,137.931,2.9985
25.46,46,137.931,2.9985
25.48,46,137.931,2.9985
25.5,45.5,136.4317,2.9985
25.52,45.5,136.4317,2.9985
25.54,46,137.954,2.999
25.56,46,137.885,2.9975
25.58,46,137.885,2.9975
25.6,46,137.954,2.999
25.62,46,137.954,2.999
25.64,46,137.931,2.9985
25.66,46,137.954,2.999
25.68,46,137.931,2.9985
25.7,37,110.9075,2.9975
25.72,37,110.9445,2.9985
25.74,37,110.963,2.999
25.76,37.5,112.4438,2.9985
25.78,37,110.9445,2.9985
25.8,37,110.9445,2.9985
25.82,37,110.9445,2.9985
25.84,37.5,112.4625,2.999
25.86,37,110.9445,2.9985
25.88,37,110.9075,2.9975
25.9,37,110.9445,2.9985
25.92,37,110.963,2.999
25.94,37.5,112.4062,2.9975
25.96,37.5,112.4062,2.9975
25.98,37,110.963,2.999
26,37,110.963,2.999
26.02,37,110.963,2.999
26.04,37,110.9445,2.9985
26.06,37,110.963,2.999
26.08,37,110.9445,2.9985
26.1,37,110.9445,2.9985
26.12,37,110.963,2.999
26.14,37,110.9075,2.9975
26.16,37.5,112.4062,2.9975
26.18,37,110.9445,2.9985
26.2,37,110.9445,2.9985
26.22,37,110.9445,2.9985
26.24,37,110.9445,2.9985
26.26,37,110.9445,2.9985
26.28,39.5,118.4408,2.9985
26.3,40,119.9,2.9975
26.32,40,119.94,2.9985
26.34,40,119.94,2.9985
26.36,40,119.96,2.999
26.38,40,119.94,2.9985
26.4,39.5,118.4408,2.9985
26.42,39.5,118.4408,2.9985
26.44,40,119.94,2.9985
26.46,40,119.9,2.9975
26.48,40,119.94,2.9985
26.5,39.5,118.4408,2.9985
26.52,39.5,118.4408,2.9985
26.54,40,119.94,2.9985
26.56,40,119.94,2.9985
26.58,39.5,118.4408,2.9985
26.6,40,119.94,2.9985
26.62,39.5,118.4012,2.9975
26.64,39.5,118.4803,2.9995
26.66,40,119.94,2.9985
26.68,39.5,118.4408,2.9985
26.7,47.5,142.4288,2.9985
26.72,48.5,145.3788,2.9975
26.74,48.5,145.4273,2.9985
26.76,48.5,145.4515,2.999
26.78,48.5,145.4273,2.9985
26.8,48.5,145.3788,2.9975
26.82,48.5,145.4273,2.9985
26.84,48.5,145.4515,2.999
26.86,48.5,145.3788,2.9975
26.88,48.5,145.4273,2.9985
26.9,48.5,145.4515,2.999
26.92,48.5,145.4273,2.9985
26.94,48.5,145.4515,2.999
26.96,48.5,145.4273,2.9985
26.98,48.5,145.4273,2.9985
27,48.5,145.4273,2.9985
27.02,48.5,145.4273,2.9985
27.04,48.5,145.4273,2.9985
27.06,49,146.9265,2.9985
27.08,48.5,145.4515,2.999
27.1,48.5,145.4273,2.9985
27.12,48.5,145.4273,2.9985
27.14,49,146.9265,2.9985
27.16,48.5,145.4273,2.9985
27.18,48.5,145.4273,2.9985
27.2,48.5,145.4515,2.999
27.22,48.5,145.4273,2.9985
27.24,48,143.928,2.9985
27.26,48,143.928,2.9985
27.28,48,143.928,2.9985
27.3,47.5,142.3812,2.9975
27.32,48,143.928,2.9985
27.34,48,143.928,2.9985
27.36,48,143.952,2.999
27.38,48,143.928,2.9985
27.4,48,143.928,2.9985
27.42,47.5,142.4288,2.9985
27.44,48,143.928,2.9985
27.46,48,143.952,2.999
27.48,48,143.928,2.9985
27.5,47.5,142.3812,2.9975
27.52,48,143.928,2.9985
27.54,48,143.952,2.999
27.56,48,143.928,2.9985
27.58,48,143.928,2.9985
27.6,47.5,142.4288,2.9985
27.62,47.5,142.4525,2.999
27.64,48,143.88,2.9975
27.66,48,143.952,2.999
27.68,47.5,142.4288,2.9985
27.7,40,119.94,2.9985
27.72,40,119.94,2.9985
27.74,40.5,121.3988,2.9975
27.76,40.5,121.4393,2.9985
27.78,40,119.9,2.9975
27.8,40,119.94,2.9985
27.82,40.5,121.4393,2.9985
27.84,40,119.9,2.9975
27.86,40.5,121.3988,2.9975
27.88,40,119.94,2.9985
27.9,40,119.9,2.9975
27.92,40.5,121.4393,2.9985
27.94,40,119.94,2.9985
27.96,40.5,121.4393,2.9985
27.98,40.5,121.4393,2.9985
28,39.5,118.4408,2.9985
28.02,40.5,121.4595,2.999
28.04,40.5,121.4393,2.9985
28.06,40.5,121.4393,2.9985
28.08,40.5,121.4393,2.9985
28.1,40.5,121.4393,2.9985
28.12,40.5,121.4393,2.9985
28.14,40.5,121.3988,2.9975
28.16,40.5,121.4393,2.9985
28.18,39.5,118.4408,2.9985
28.2,40.5,121.3988,2.9975
28.22,40.5,121.4393,2.9985
28.24,40.5,121.3988,2.9975
28.26,40.5,121.4595,2.999
28.28,40.5,121.3988,2.9975
28.3,40.5,121.3988,2.9975
28.32,40.5,121.4393,2.9985
28.34,40.5,121.4595,2.999
28.36,40.5,121.3988,2.9975
28.38,40.5,121.4393,2.9985
28.4,40.5,121.4595,2.999
28.42,40,119.94,2.9985
28.44,40.5,121.4595,2.999
28.46,40.5,121.4393,2.9985
28.48,37.5,112.4438,2.9985
28.5,38,113.905,2.9975
28.52,38,113.943,2.9985
28.54,38,113.943,2.9985
28.56,38.5,115.4037,2.9975
28.58,38,113.962,2.999
28.6,38,113.943,2.9985
28.62,38,113.943,2.9985
28.64,38,113.905,2.9975
28.66,38,113.943,2.9985
28.68,38,113.943,2.9985
28.7,47,140.9295,2.9985
28.72,46.5,139.3837,2.9975
28.74,47,140.9295,2.9985
28.76,46.5,139.3837,2.9975
28.78,46.5,139.4303,2.9985
28.8,47,140.9295,2.9985
28.82,46.5,139.4535,2.999
28.84,47,140.9295,2.9985
28.86,47,140.8825,2.9975
28.88,46.5,139.3837,2.9975
28.9,46.5,139.4303,2.9985
28.92,47,140.9295,2.9985
28.94,47,140.9295,2.9985
28.96,47,140.8825,2.9975
28.98,47,140.9295,2.9985
29,47,140.9295,2.9985
29.02,46.5,139.4535,2.999
29.04,47,140.953,2.999
29.06,46.5,139.4303,2.9985
29.08,46.5,139.4535,2.999
29.1,46.5,139.4303,2.9985
29.12,46.5,139.4535,2.999
29.14,47,140.9295,2.9985
29.16,47,140.9295,2.9985
29.18,46.5,139.4303,2.9985
29.2,47,140.8825,2.9975
29.22,47,140.953,2.999
29.24,46.5,139.4303,2.9985
29.26,47,140.953,2.999
29.28,46.5,139.4535,2.999
29.3,46.5,139.4303,2.9985
29.32,46.5,139.4303,2.9985
29.34,46.5,139.4303,2.9985
29.36,46.5,139.4303,2.9985
29.38,47,140.9295,2.9985
29.4,47,140.953,2.999
29.42,46.5,139.3837,2.9975
29.44,47,140.953,2.999
29.46,47,140.8825,2.9975
29.48,46,137.931,2.9985
29.5,47,140.9295,2.9985
29.52,46.5,139.3837,2.9975
29.54,47,140.9765,2.9995
29.56,47,140.9295,2.9985
29.58,47,140.9295,2.9985
29.6,47,140.9295,2.9985
29.62,46.5,139.4303,2.9985
29.64,47,140.8825,2.9975
29.66,46,137.885,2.9975
29.68,47,140.9295,2.9985
29.7,38,113.905,2.9975
29.72,38,113.943,2.9985
29.74,38.5,115.4423,2.9985
29.76,38.5,115.4423,2.9985
29.78,38,113.943,2.9985
29.8,38,113.905,2.9975
29.82,40.5,121.4798,2.9995
29.84,40.5,121.4393,2.9985
29.86,41,122.9385,2.9985
29.88,40.5,121.4393,2.9985
29.9,40.5,121.4595,2.999
29.92,41,122.9385,2.9985
29.94,41,122.9385,2.9985
29.96,41,122.8975,2.9975
29.98,41,122.9385,2.9985
30,40.5,121.4393,2.9985
30.02,41,122.959,2.999
30.04,41,122.8975,2.9975
30.06,40.5,121.4595,2.999
30.08,40.5,121.4595,2.999
30.1,40.5,121.3988,2.9975
30.12,40.5,121.4393,2.9985
30.14,41,122.959,2.999
30.16,40.5,121.4393,2.9985
30.18,41,122.959,2.999
30.2,40.5,121.3988,2.9975
30.22,40.5,121.3988,2.9975
30.24,41,122.9385,2.9985
30.26,41,122.959,2.999
30.28,41,122.959,2.999
30.3,40.5,121.4595,2.999
30.32,41,122.9385,2.9985
30.34,41,122.959,2.999
30.36,40.5,121.4393,2.9985
30.38,40.5,121.3988,2.9975
30.4,41,122.959,2.999
30.42,41,122.9385,2.9985
30.44,41,122.9385,2.9985
30.46,41,122.959,2.999
30.48,40.5,121.4595,2.999
30.5,40.5,121.4393,2.9985
30.52,40.5,121.4393,2.9985
30.54,41,122.9385,2.9985
30.56,40.5,121.3988,2.9975
30.58,40.5,121.3988,2.9975
30.6,40.5,121.4393,2.9985
30.62,40.5,121.4393,2.9985
30.64,40.5,121.4393,2.9985
30.66,41,122.8975,2.9975
30.68,40.5,121.4595,2.999
30.7,49.5,148.4505,2.999
30.72,49.5,148.4258,2.9985
30.74,49.5,148.4258,2.9985
30.76,49.5,148.4258,2.9985
30.78,49.5,148.4258,2.9985
30.8,49.5,148.4258,2.9985
30.82,49.5,148.3763,2.9975
30.84,50,149.925,2.9985
30.86,49.5,148.4505,2.999
30.88,49.5,148.4505,2.999
30.9,49.5,148.4258,2.9985
30.92,49.5,148.4505,2.999
30.94,50,149.95,2.999
30.96,48.5,145.4273,2.9985
30.98,49.5,148.4258,2.9985
31,49.5,148.4258,2.9985
31.02,49.5,148.3763,2.9975
31.04,49.5,148.4258,2.9985
31.06,49.5,148.3763,2.9975
31.08,49.5,148.4258,2.9985
31.1,49.5,148.4505,2.999
31.12,49.5,148.4753,2.9995
31.14,48.5,145.4273,2.9985
31.16,47,140.9295,2.9985
31.18,46.5,139.3837,2.9975
31.2,46.5,139.4535,2.999
31.22,46.5,139.4303,2.9985
31.24,47,140.8825,2.9975
31.26,46.5,139.4303,2.9985
31.28,47,140.8825,2.9975
31.3,46.5,139.4303,2.9985
31.32,46.5,139.4303,2.9985
31.34,47,140.9295,2.9985
31.36,46.5,139.4303,2.9985
31.38,46.5,139.4303,2.9985
31.4,46.5,139.4535,2.999
31.42,46.5,139.3837,2.9975
31.44,47,140.953,2.999
31.46,46.5,139.3837,2.9975
31.48,46.5,139.4303,2.9985
31.5,46.5,139.4303,2.9985
31.52,46.5,139.4535,2.999
31.54,46.5,139.4535,2.999
31.56,46.5,139.4303,2.9985
31.58,47,140.9295,2.9985
31.6,47,140.9295,2.9985
31.62,46.5,139.3837,2.9975
31.64,46.5,139.3837,2.9975
31.66,47,140.9295,2.9985
31.68,46.5,139.4303,2.9985
31.7,38,113.886,2.997
31.72,38,113.962,2.999
31.74,38.5,115.4423,2.9985
31.76,38,113.905,2.9975
31.78,38,113.905,2.9975
31.8,38,113.943,2.9985
31.82,38,113.905,2.9975
31.84,38.5,115.4423,2.9985
31.86,38,113.962,2.999
31.88,38,113.962,2.999
31.9,38,113.943,2.9985
31.92,38,113.962,2.999
31.94,38,113.943,2.9985
31.96,38,113.943,2.9985
31.98,38,113.905,2.9975
32,38,113.905,2.9975
32.02,38,113.962,2.999
32.04,38,113.943,2.9985
32.06,38,113.962,2.999
32.08,37,110.9445,2.9985
32.1,37,110.9075,2.9975
32.12,37,110.9445,2.9985
32.14,37.5,112.4062,2.9975
32.16,37,110.9445,2.9985
32.18,37,110.963,2.999
32.2,37,110.9075,2.9975
32.22,37,110.9075,2.9975
32.24,37.5,112.4625,2.999
32.26,37,110.9075,2.9975
32.28,37,110.9445,2.9985
32.3,37,110.963,2.999
32.32,37,110.9075,2.9975
32.34,37.5,112.4062,2.9975
32.36,37,110.9445,2.9985
32.38,37,110.963,2.999
32.4,37,110.963,2.999
32.42,37,110.963,2.999
32.44,36.5,109.4087,2.9975
32.46,37,110.9075,2.9975
32.48,37,110.9445,2.9985
32.5,37,110.963,2.999
32.52,37,110.9445,2.9985
32.54,37,110.9075,2.9975
32.56,37,110.9445,2.9985
32.58,37,110.9445,2.9985
32.6,37,110.9445,2.9985
32.62,36.5,109.4087,2.9975
32.64,37.5,112.4062,2.9975
32.66,37,110.9075,2.9975
32.68,37,110.9445,2.9985
32.7,45.5,136.3862,2.9975
32.72,46,137.931,2.9985
32.74,46,137.931,2.9985
32.76,46,137.931,2.9985
32.78,46,137.931,2.9985
32.8,45.5,136.4317,2.9985
32.82,46,137.931,2.9985
32.84,46,137.954,2.999
32.86,46,137.931,2.9985
32.88,46,137.931,2.9985
32.9,45.5,136.3862,2.9975
32.92,46,137.931,2.9985
32.94,46.5,139.4303,2.9985
32.96,46.5,139.4303,2.9985
32.98,46,137.885,2.9975
33,46,137.931,2.9985
33.02,46.5,139.4303,2.9985
33.04,46.5,139.4303,2.9985
33.06,46,137.931,2.9985
33.08,46,137.931,2.9985
33.1,46,137.885,2.9975
33.12,46,137.862,2.997
33.14,46,137.885,2.9975
33.16,46.5,139.4535,2.999
33.18,46,137.931,2.9985
33.2,46,137.931,2.9985
33.22,46.5,139.4535,2.999
33.24,46.5,139.4303,2.9985
33.26,46,137.954,2.999
33.28,46,137.931,2.9985
33.3,46.5,139.4303,2.9985
33.32,46,137.931,2.9985
33.34,46,137.931,2.9985
33.36,49,146.9265,2.9985
33.38,49.5,148.4505,2.999
33.4,49.5,148.4258,2.9985
33.42,49.5,148.3763,2.9975
33.44,49.5,148.3763,2.9975
33.46,49.5,148.3763,2.9975
33.48,49,146.8775,2.9975
33.5,49.5,148.4258,2.9985
33.52,49.5,148.4258,2.9985
33.54,49.5,148.4258,2.9985
33.56,49.5,148.4258,2.9985
33.58,49.5,148.3763,2.9975
33.6,49.5,148.4258,2.9985
33.62,49,146.951,2.999
33.64,49.5,148.4258,2.9985
33.66,49,146.9265,2.9985
33.68,49,146.9265,2.9985
33.7,40.5,121.3988,2.9975
33.72,40.5,121.4393,2.9985
33.74,40.5,121.4393,2.9985
33.76,40.5,121.4393,2.9985
33.78,40,119.94,2.9985
33.8,40,119.9,2.9975
33.82,40.5,121.4393,2.9985
33.84,40.5,121.4393,2.9985
33.86,40.5,121.4393,2.9985
33.88,40,119.94,2.9985
33.9,40.5,121.3988,2.9975
33.92,39.5,118.4408,2.9985
33.94,41,122.9385,2.9985
33.96,40.5,121.4595,2.999
33.98,40,119.96,2.999
34,40.5,121.4595,2.999
34.02,40.5,121.4393,2.9985
34.04,40.5,121.4393,2.9985
34.06,40.5,121.4393,2.9985
34.08,40.5,121.4595,2.999
34.1,39.5,118.4408,2.9985
34.12,40.5,121.3988,2.9975
34.14,41,122.9385,2.9985
34.16,40,119.96,2.999
34.18,40.5,121.4595,2.999
34.2,40.5,121.3988,2.9975
34.22,40.5,121.4393,2.9985
34.24,40.5,121.3988,2.9975
34.26,41,122.9385,2.9985
34.28,40.5,121.4393,2.9985
34.3,40.5,121.4393,2.9985
34.32,40.5,121.4393,2.9985
34.34,41,122.959,2.999
34.36,41,122.9385,2.9985
34.38,40.5,121.4393,2.9985
34.4,40.5,121.3988,2.9975
34.42,40.5,121.4393,2.9985
34.44,40.5,121.3988,2.9975
34.46,40.5,121.4595,2.999
34.48,40.5,121.4393,2.9985
34.5,40.5,121.4393,2.9985
34.52,40.5,121.3988,2.9975
34.54,40.5,121.4393,2.9985
34.56,40.5,121.4393,2.9985
34.58,40.5,121.4393,2.9985
34.6,40.5,121.3988,2.9975
34.62,40.5,121.4393,2.9985
34.64,41,122.9385,2.9985
34.66,40.5,121.3988,2.9975
34.68,40.5,121.4393,2.9985
34.7,46.5,139.4303,2.9985
34.72,46.5,139.3837,2.9975
34.74,46.5,139.4535,2.999
34.76,46.5,139.4303,2.9985
34.78,46.5,139.3837,2.9975
34.8,46.5,139.4303,2.9985
34.82,46.5,139.4535,2.999
34.84,46.5,139.4303,2.9985
34.86,46.5,139.4303,2.9985
34.88,46.5,139.4303,2.9985
34.9,47,140.9295,2.9985
34.92,46.5,139.4303,2.9985
34.94,46.5,139.4303,2.9985
34.96,46.5,139.3837,2.9975
34.98,46.5,139.4303,2.9985
35,46.5,139.4303,2.9985
35.02,46.5,139.4303,2.9985
35.04,46.5,139.4303,2.9985
35.06,46.5,139.4535,2.999
35.08,46.5,139.4303,2.9985
35.1,46.5,139.3837,2.9975
35.12,46.5,139.4303,2.9985
35.14,47,140.9765,2.9995
35.16,46.5,139.4303,2.9985
35.18,46.5,139.4303,2.9985
35.2,46.5,139.4303,2.9985
35.22,46.5,139.4303,2.9985
35.24,46.5,139.4303,2.9985
